status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	500	120	600	0.743	3.304	4.845	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	215	504	289	0	0	504	512	512	7	64	
success	1000	120	600	0.859	3.780	4.991	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.854	3.522	5.323	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	451	1004	553	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.138	3.443	5.679	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.091	3.046	5.325	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	905	2004	1099	0	0	2004	2048	2048	7	64	
success	100	120	600	0.612	3.352	5.236	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.667	3.243	5.265	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	42	104	62	0	0	104	256	256	7	64	
success	500	120	600	0.801	3.353	5.112	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.794	3.393	4.980	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	216	504	288	0	0	504	512	512	7	64	
success	1000	120	600	0.964	3.451	5.660	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.813	3.363	5.182	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	451	1004	553	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.060	3.420	5.434	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.113	3.209	5.058	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	910	2004	1094	0	0	2004	2048	2048	7	64	
success	100	120	600	0.655	3.268	4.781	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.635	3.337	5.451	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	42	104	62	0	0	104	256	256	7	64	
success	500	120	600	0.805	3.508	4.932	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.758	3.317	4.805	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	216	504	288	0	0	504	512	512	7	64	
success	1000	120	600	0.847	3.462	5.298	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.828	3.430	5.114	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	451	1004	553	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.116	3.625	5.827	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.122	3.272	4.919	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	911	2004	1093	0	0	2004	2048	2048	7	64	
success	100	120	600	0.652	3.176	5.696	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.661	3.194	5.265	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	42	104	62	0	0	104	256	256	7	64	
success	500	120	600	0.757	3.362	4.899	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.695	3.396	4.951	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	215	504	289	0	0	504	512	512	7	64	
success	1000	120	600	0.976	3.633	4.809	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.888	3.425	5.941	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	453	1004	551	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.128	3.373	4.724	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.136	3.323	5.247	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	910	2004	1094	0	0	2004	2048	2048	7	64	
success	100	120	600	0.690	3.509	5.072	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.703	3.326	5.407	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	42	104	62	0	0	104	256	256	7	64	
success	500	120	600	0.764	3.583	5.026	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.711	3.053	4.752	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	215	504	289	0	0	504	512	512	7	64	
success	1000	120	600	0.910	3.592	5.471	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.840	3.344	5.300	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	451	1004	553	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.086	3.505	5.490	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.147	3.260	5.310	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	913	2004	1091	0	0	2004	2048	2048	7	64	
success	100	120	600	0.669	3.550	5.266	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.692	3.170	4.857	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	42	104	62	0	0	104	256	256	7	64	
success	500	120	600	0.822	3.417	4.849	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.690	3.380	4.917	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	215	504	289	0	0	504	512	512	7	64	
success	1000	120	600	0.839	3.735	5.422	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.884	3.351	4.859	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	451	1004	553	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.140	3.529	5.364	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.126	3.141	5.809	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	911	2004	1093	0	0	2004	2048	2048	7	64	
