status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	instancing	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_writes	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	1000	120	600	0.418	0.578	1.257	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.344	0.844	1.432	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.351	0.641	1.314	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.354	0.810	1.331	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.421	0.848	1.388	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	412	1004	592	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.342	0.605	1.433	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.353	0.797	1.459	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.354	0.575	1.155	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.418	0.587	1.036	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.341	0.695	1.378	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.354	0.875	1.617	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.359	0.780	1.780	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.421	0.765	1.196	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	410	1004	594	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.344	0.790	1.744	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.351	0.805	1.504	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.353	0.697	1.327	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.417	0.698	1.605	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	410	1004	594	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.344	0.714	1.684	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.350	0.740	1.344	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.363	1.042	1.595	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.425	1.006	1.242	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	413	1004	591	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.343	0.752	1.297	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.349	0.591	1.274	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.354	0.564	1.038	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1413	1416	408	1004	596	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.417	0.551	0.931	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.341	0.598	1.178	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.350	0.546	0.989	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.355	0.545	0.966	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1413	1416	408	1004	596	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.416	0.559	1.057	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.342	0.568	1.077	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.353	0.665	1.543	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1004	1024	1024	7	64	
success	1000	120	600	0.364	0.978	4.737	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1417	1420	412	1004	592	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.416	0.567	1.003	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	1004	1024	1024	7	64	
