status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	instancing	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_writes	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	500	120	600	0.256	1.056	3.691	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.261	0.739	1.703	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	699	702	194	504	310	0	0	504	504	512	256	7	64	
success	500	120	600	0.290	0.935	1.318	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	195	504	309	0	0	504	5	512	512	7	64	
success	500	120	600	0.256	0.962	1.606	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.252	0.603	1.602	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.265	0.857	2.260	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	699	702	194	504	310	0	0	504	504	512	256	7	64	
success	500	120	600	0.298	1.036	1.794	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	195	504	309	0	0	504	5	512	512	7	64	
success	500	120	600	0.255	0.824	1.706	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.253	0.884	1.678	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.258	0.643	1.506	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.282	0.728	1.389	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.253	0.674	1.545	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.250	0.619	1.636	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.259	0.639	1.711	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.281	0.609	1.393	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.253	0.563	1.579	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.250	0.609	1.792	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.258	0.659	1.405	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.281	0.655	1.373	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.252	0.636	1.571	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.250	0.599	1.522	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.258	0.682	1.416	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.281	0.631	1.443	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.253	0.637	1.583	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.249	0.509	1.271	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.258	0.650	1.449	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.282	0.697	1.926	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.253	0.581	1.440	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.248	0.549	1.369	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.259	0.712	1.504	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.280	0.649	1.445	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.254	0.643	1.405	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.248	0.566	1.539	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.259	0.625	1.428	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.280	0.604	1.601	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.252	0.679	1.543	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.250	0.590	1.579	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.260	0.648	1.455	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.281	0.558	1.440	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
